P ,CN,time of concentration, unit peak discharge,Ia/P
6,49,3.573471494,113.8748117,0.35
6,49,3.972365628,105.1223225,0.35
6,49,4.480713301,96.39793724,0.35
6,49,4.980879668,90.78585696,0.35
6,49,5.496614439,82.97435446,0.35
6,49,5.912767508,79.19233902,0.35
6,49,6.572789081,73.10556635,0.35
6,49,7.09627119,68.84951773,0.35
6,49,7.71756651,64.62553004,0.35
6,49,8.301869634,61.67986383,0.35
6,49,8.833185881,58.67261616,0.35
6,49,9.296178873,56.37273311,0.35
6,49,9.783433186,53.98281006,0.35
6,53,0.159533749,784.0696648,0.3
6,53,0.138371266,824.2569248,0.3
6,53,0.118709342,886.9536253,0.3
6,53,0.1,938.6491297,0.3
6,53,0.179294028,740.8875262,0.3
6,53,0.197858653,704.7650034,0.3
6,53,0.216757734,674.8865811,0.3
6,53,0.236597128,652.7678859,0.3
6,53,0.257311766,620.9417017,0.3
6,53,0.275784901,596.6016707,0.3
6,53,0.297749467,580.9074344,0.3
6,53,0.345801856,539.8443489,0.3
6,53,0.394347979,500.0150496,0.3
6,53,0.448071255,466.2211186,0.3
6,53,0.498087717,440.5442867,0.3
6,53,0.547659174,419.0652221,0.3
6,53,0.636043105,380.4634044,0.3
6,53,0.691729951,361.9136279,0.3
6,53,0.78596678,336.3307905,0.3
6,53,0.886547749,310.4801957,0.3
6,53,0.989112555,291.4319655,0.3
6,53,1.132094559,270.8312725,0.3
6,53,1.324428609,243.438103,0.3
6,53,1.773419144,201.9972434,0.3
6,53,1.549438716,221.0139864,0.3
6,53,1.971379725,188.3450926,0.3
6,53,2.167577707,176.2018305,0.3
6,53,2.480914569,159.4389811,0.3
6,53,2.778050151,148.1685856,0.3
6,53,3.250020326,131.8573337,0.3
6,53,3.706281283,120.5119113,0.3
6,53,4.119997757,110.5103362,0.3
6,53,4.664229379,101.6770494,0.3
6,53,5.128426612,93.23862506,0.3
6,53,5.659438822,86.35952493,0.3
6,53,6.222686257,81.06130528,0.3
6,53,6.792236057,76.08811205,0.3
6,53,7.333195764,70.47438987,0.3
6,53,7.888403143,66.15071463,0.3
6,53,8.454733766,62.71614368,0.3
6,53,8.963062344,59.26210096,0.3
6,53,9.501959788,56.93911094,0.3
6,53,9.783433186,55.44126756,0.3
6,75,0.159533749,863.6213086,0.1
6,75,0.139894381,901.8554198,0.1
6,75,0.118276955,954.4193926,0.1
6,75,0.101470341,1003.337878,0.1
6,75,0.179294028,835.3170956,0.1
6,75,0.198581934,805.2527477,0.1
6,75,0.219944849,776.2704619,0.1
6,75,0.240075953,753.3352499,0.1
6,75,0.260144114,726.2214994,0.1
6,75,0.279839926,700.0836165,0.1
6,75,0.303231993,674.8865811,0.1
6,75,0.347065951,641.9819835,0.1
6,75,0.395789536,604.6071751,0.1
6,75,0.446439126,563.7442988,0.1
6,75,0.498087717,530.9243199,0.1
6,75,0.563882489,501.6840004,0.1
6,75,0.643044321,464.6700712,0.1
6,75,0.714824872,439.0787293,0.1
6,75,0.806301739,410.7697365,0.1
6,75,0.896306384,384.2859269,0.1
6,75,1.014703411,360.7096508,0.1
6,75,1.165630998,328.5763282,0.1
6,75,1.368647562,299.3055128,0.1
6,75,1.846052875,244.250651,0.1
6,75,1.583737208,269.9302989,0.1
6,75,2.02977793,225.4773933,0.1
6,75,2.256354193,211.644159,0.1
6,75,2.545102136,192.7901011,0.1
6,75,2.860345319,179.1621874,0.1
6,75,3.250020326,161.5784143,0.1
6,75,3.774523324,143.7908873,0.1
6,75,4.335948164,128.8172036,0.1
6,75,4.908702503,114.6362634,0.1
6,75,5.41696384,104.0766625,0.1
6,75,5.956079304,96.71970914,0.1
6,75,6.524992656,89.28577184,0.1
6,75,7.200609377,81.33185939,0.1
6,75,7.831039752,75.33125758,0.1
6,75,8.393252096,70.70960858,0.1
6,75,8.995833254,67.03835853,0.1
6,75,9.296178873,64.41055029,0.1
6,75,9.606552188,62.2995625,0.1
6,75,9.819203551,61.06632935,0.1
